Area name,Area code,Area type,Reporting date,Daily hospital deaths,Cumulative hospital deaths
Scotland,S92000003,Nation,2020-04-16,84,699
Northern Ireland,N92000002,Nation,2020-04-16,6,140
England,E92000001,Nation,2020-04-16,739,12395
United Kingdom,K02000001,UK,2020-04-15,761,12868
Wales,W92000004,Nation,2020-04-15,60,463
Scotland,S92000003,Nation,2020-04-15,40,615
Northern Ireland,N92000002,Nation,2020-04-15,10,134
England,E92000001,Nation,2020-04-15,651,11656
United Kingdom,K02000001,UK,2020-04-14,778,12107
Wales,W92000004,Nation,2020-04-14,19,403
Scotland,S92000003,Nation,2020-04-14,9,575
Northern Ireland,N92000002,Nation,2020-04-14,6,124
England,E92000001,Nation,2020-04-14,744,11005
United Kingdom,K02000001,UK,2020-04-13,717,11329
Wales,W92000004,Nation,2020-04-13,15,384
Scotland,S92000003,Nation,2020-04-13,24,566
Northern Ireland,N92000002,Nation,2020-04-13,11,118
England,E92000001,Nation,2020-04-13,667,10261
United Kingdom,K02000001,UK,2020-04-12,737,10612
Wales,W92000004,Nation,2020-04-12,18,369
Scotland,S92000003,Nation,2020-04-12,47,542
Northern Ireland,N92000002,Nation,2020-04-12,15,107
England,E92000001,Nation,2020-04-12,657,9594
United Kingdom,K02000001,UK,2020-04-11,917,9875
Wales,W92000004,Nation,2020-04-11,36,351
Scotland,S92000003,Nation,2020-04-11,48,495
Northern Ireland,N92000002,Nation,2020-04-11,10,92
England,E92000001,Nation,2020-04-11,823,8937
United Kingdom,K02000001,UK,2020-04-10,980,8958
Wales,W92000004,Nation,2020-04-10,29,315
Scotland,S92000003,Nation,2020-04-10,81,447
Northern Ireland,N92000002,Nation,2020-04-10,4,82
England,E92000001,Nation,2020-04-10,866,8114
United Kingdom,K02000001,UK,2020-04-09,881,7978
Wales,W92000004,Nation,2020-04-09,41,286
Scotland,S92000003,Nation,2020-04-09,70,366
Northern Ireland,N92000002,Nation,2020-04-09,5,78
England,E92000001,Nation,2020-04-09,765,7248
United Kingdom,K02000001,UK,2020-04-08,938,7097
Wales,W92000004,Nation,2020-04-08,33,245
Scotland,S92000003,Nation,2020-04-08,74,296
Northern Ireland,N92000002,Nation,2020-04-08,3,73
England,E92000001,Nation,2020-04-08,828,6483
United Kingdom,K02000001,UK,2020-04-07,786,6159
Wales,W92000004,Nation,2020-04-07,19,212
Scotland,S92000003,Nation,2020-04-07,2,222
Northern Ireland,N92000002,Nation,2020-04-07,7,70
England,E92000001,Nation,2020-04-07,758,5655
United Kingdom,K02000001,UK,2020-04-06,439,5373
Wales,W92000004,Nation,2020-04-06,27,193
Scotland,S92000003,Nation,2020-04-06,2,220
Northern Ireland,N92000002,Nation,2020-04-06,7,63
England,E92000001,Nation,2020-04-06,403,4897
United Kingdom,K02000001,UK,2020-04-05,621,4934
Wales,W92000004,Nation,2020-04-05,12,166
Scotland,S92000003,Nation,2020-04-05,46,218
Northern Ireland,N92000002,Nation,2020-04-05,8,56
England,E92000001,Nation,2020-04-05,555,4494
United Kingdom,K02000001,UK,2020-04-04,708,4313
Wales,W92000004,Nation,2020-04-04,13,154
Scotland,S92000003,Nation,2020-04-04,46,172
Northern Ireland,N92000002,Nation,2020-04-04,12,48
England,E92000001,Nation,2020-04-04,637,3939
United Kingdom,K02000001,UK,2020-04-03,684,3605
Wales,W92000004,Nation,2020-04-03,24,141
Scotland,S92000003,Nation,2020-04-03,50,126
Northern Ireland,N92000002,Nation,2020-04-03,6,36
England,E92000001,Nation,2020-04-03,604,3302
United Kingdom,K02000001,UK,2020-04-02,569,2921
Wales,W92000004,Nation,2020-04-02,19,117
Scotland,S92000003,Nation,2020-04-02,16,76
Northern Ireland,N92000002,Nation,2020-04-02,2,30
England,E92000001,Nation,2020-04-02,532,2698
United Kingdom,K02000001,UK,2020-04-01,563,2352
Wales,W92000004,Nation,2020-04-01,29,98
Scotland,S92000003,Nation,2020-04-01,13,60
Northern Ireland,N92000002,Nation,2020-04-01,6,28
England,E92000001,Nation,2020-04-01,515,2166
United Kingdom,K02000001,UK,2020-03-31,381,1789
Wales,W92000004,Nation,2020-03-31,7,69
Scotland,S92000003,Nation,2020-03-31,6,47
Northern Ireland,N92000002,Nation,2020-03-31,1,22
England,E92000001,Nation,2020-03-31,367,1651
United Kingdom,K02000001,UK,2020-03-30,180,1408
Wales,W92000004,Nation,2020-03-30,14,62
Scotland,S92000003,Nation,2020-03-30,1,41
Northern Ireland,N92000002,Nation,2020-03-30,6,21
England,E92000001,Nation,2020-03-30,159,1284
United Kingdom,K02000001,UK,2020-03-29,209,1228
Wales,W92000004,Nation,2020-03-29,10,48
Scotland,S92000003,Nation,2020-03-29,0,40
Northern Ireland,N92000002,Nation,2020-03-29,0,15
England,E92000001,Nation,2020-03-29,199,1125
United Kingdom,K02000001,UK,2020-03-28,260,1019
Wales,W92000004,Nation,2020-03-28,4,38
Scotland,S92000003,Nation,2020-03-28,7,40
Northern Ireland,N92000002,Nation,2020-03-28,2,15
England,E92000001,Nation,2020-03-28,247,926
United Kingdom,K02000001,UK,2020-03-27,181,759
Wales,W92000004,Nation,2020-03-27,,34
Scotland,S92000003,Nation,2020-03-27,,33
Northern Ireland,N92000002,Nation,2020-03-27,,13
England,E92000001,Nation,2020-03-27,,679
United Kingdom,K02000001,UK,2020-03-26,115,578
United Kingdom,K02000001,UK,2020-03-25,41,463
United Kingdom,K02000001,UK,2020-03-24,87,422
United Kingdom,K02000001,UK,2020-03-23,54,335
United Kingdom,K02000001,UK,2020-03-22,48,281
United Kingdom,K02000001,UK,2020-03-21,56,233
United Kingdom,K02000001,UK,2020-03-20,33,177
United Kingdom,K02000001,UK,2020-03-19,41,144
United Kingdom,K02000001,UK,2020-03-18,32,103
United Kingdom,K02000001,UK,2020-03-17,16,71
United Kingdom,K02000001,UK,2020-03-16,20,55
United Kingdom,K02000001,UK,2020-03-15,14,35
United Kingdom,K02000001,UK,2020-03-14,,21
United Kingdom,K02000001,UK,2020-03-13,,8
United Kingdom,K02000001,UK,2020-03-12,,8
United Kingdom,K02000001,UK,2020-03-11,,6
United Kingdom,K02000001,UK,2020-03-10,,6
